date,AAP,ICE,K,REGN,XLNX,portfolio_value,port_val_chg_1_days,port_val_chg_5_days,port_val_chg_5_days_bin
2015-12-14 00:00:00+00:00,147.61,245.58,71.08,539.94,47.305,1258.562661483181,0.005147251262080488,-0.035826680769054486,0
2015-12-15 00:00:00+00:00,156.17,250.0,71.51,556.45,47.945,1289.1694629851515,0.02431885391061983,-0.010210819047196118,0
2015-12-16 00:00:00+00:00,160.82,247.72,71.97,559.67,47.97,1293.6778774782942,0.0034971465137743074,0.00806601363647208,1
2015-12-17 00:00:00+00:00,153.07,248.37,71.61,551.49,47.1,1277.6410238402502,-0.012396326718753126,-0.0038369978807144545,0
2015-12-18 00:00:00+00:00,149.57,244.58,70.78,544.23,46.52,1258.0705422164128,-0.015317668467637158,0.004754221702708117,1
2015-12-21 00:00:00+00:00,149.65,247.44,71.05,532.55,47.3,1262.34668169972,0.0033989663852820318,0.0030066204348375702,1
2015-12-22 00:00:00+00:00,147.83,250.09,72.19,528.34,47.43,1267.345644982462,0.003960055787536332,-0.016928587458281075,0
2015-12-23 00:00:00+00:00,149.06,251.0,73.07,535.85,47.88,1277.628319265578,0.008113551598039503,-0.012406147227315034,0
2015-12-24 00:00:00+00:00,149.13,251.92,72.87,537.63,47.85,1279.6682880865947,0.0015966840983840935,0.001586724446473342,1
2015-12-28 00:00:00+00:00,150.55,254.41,72.87,540.28,47.8,1287.7661386735565,0.006328085694043528,0.023604078992921496,1
2015-12-29 00:00:00+00:00,152.2,257.74,73.51,550.21,48.18,1303.7369511567465,0.012401950947118712,0.03278835367261834,1
2015-12-30 00:00:00+00:00,151.4,256.93,73.19,548.19,47.84,1298.3362260175718,-0.004142496026044884,0.024453140433948972,1
2015-12-31 00:00:00+00:00,150.51,256.26,72.27,542.87,46.97,1288.7160061654067,-0.007409652183605342,0.008678335265926318,1
2016-01-04 00:00:00+00:00,152.24,251.39,71.61,516.55,45.8,1265.9127262028612,-0.017694573399764768,-0.010749318406804709,0
2016-01-05 00:00:00+00:00,151.2,257.58,71.87,508.98,46.48,1276.8538518208406,0.008642875129944771,-0.008473810985553554,0
2016-01-06 00:00:00+00:00,147.2,255.28,72.01,519.48,45.63,1268.7740375418366,-0.0063279084505105665,-0.026817460058862985,0
2016-01-07 00:00:00+00:00,148.83,254.17,70.37,501.96,43.83,1252.603710646115,-0.012744843776162584,-0.03522393849529537,0
2016-01-08 00:00:00+00:00,145.56,250.27,71.48,491.68,42.93,1236.8885841889798,-0.012545968308707134,-0.04021632518605878,0
2016-01-11 00:00:00+00:00,147.05,252.64,71.55,480.82,43.12,1240.390513516898,0.0028312407218265,-0.020161115500053284,0
2016-01-12 00:00:00+00:00,148.07,253.87,71.47,474.98,43.36,1242.4880039517657,0.00169099199970546,-0.0269144724903857,0
2016-01-13 00:00:00+00:00,142.16,246.62,70.9,459.57,41.91,1207.7261487820047,-0.027977618342551414,-0.04811565097762249,0
2016-01-14 00:00:00+00:00,141.32,250.07,71.67,479.08,42.41,1224.8327650862445,0.014164317234906187,-0.022170575836427675,0
2016-01-15 00:00:00+00:00,144.29,245.45,70.67,462.95,42.81,1211.1925341178417,-0.01113640274592298,-0.020774749156559635,0
2016-01-19 00:00:00+00:00,144.62,249.03,71.24,447.02,42.79,1214.552504214137,0.0027741007326653744,-0.020830544107840798,0
2016-01-20 00:00:00+00:00,143.39,242.83,70.1,461.95,43.08,1203.0674800492925,-0.009456177583920589,-0.03172708611841335,0
2016-01-21 00:00:00+00:00,143.8,242.08,69.96,461.57,46.78,1210.7885800882827,0.006417844524127414,0.002535700091752302,1
2016-01-22 00:00:00+00:00,144.43,251.28,71.61,482.99,47.72,1246.3900621558146,0.029403549598176815,0.01760019627500098,1
2016-01-25 00:00:00+00:00,144.72,248.77,70.51,473.12,47.5,1233.9357126251355,-0.009992336996924922,0.018777508832531264,1
2016-01-26 00:00:00+00:00,151.47,251.64,71.2,463.56,48.35,1249.9123927737412,0.01294774110607122,0.029113511714739415,1
2016-01-27 00:00:00+00:00,151.52,252.78,71.57,434.16,48.14,1241.4927070623798,-0.00673622068237667,0.031939378006887065,1
2016-01-28 00:00:00+00:00,148.56,254.54,72.79,415.11,47.995,1236.8036563212092,-0.0037769458608144513,0.021486060127053452,1
2016-01-29 00:00:00+00:00,152.05,263.8,73.44,420.09,50.27,1270.5716170267635,0.02730260420315611,0.019401273810803144,1
